DEMAND;TREAT_DATE;TREATMENT_FLAG
36657575;30.10.2023 0:00;1
36657891;30.10.2023 0:00;1
36569090;30.10.2023 0:00;1
36569230;30.10.2023 0:00;1
36569278;30.10.2023 0:00;1
36569485;30.10.2023 0:00;0
36569553;30.10.2023 0:00;1
36569574;30.10.2023 0:00;0
36569580;30.10.2023 0:00;1
36657982;30.10.2023 0:00;0
36569860;30.10.2023 0:00;0
37867106;30.10.2023 0:00;1
37936656;30.10.2023 0:00;1
37868783;30.10.2023 0:00;0
37868932;30.10.2023 0:00;0
38013753;30.10.2023 0:00;0
37440092;30.10.2023 0:00;1
37440881;30.10.2023 0:00;0
37870029;30.10.2023 0:00;0
37870124;30.10.2023 0:00;0
37870233;30.10.2023 0:00;1
37910175;30.10.2023 0:00;0
36702359;30.10.2023 0:00;1
37443994;30.10.2023 0:00;1
37910582;30.10.2023 0:00;0
37963723;30.10.2023 0:00;0
38027232;30.10.2023 0:00;0
37444562;30.10.2023 0:00;1
37444788;30.10.2023 0:00;0
36703816;30.10.2023 0:00;0
36703901;30.10.2023 0:00;0
37451699;30.10.2023 0:00;0
36704182;30.10.2023 0:00;1
36704271;30.10.2023 0:00;0
36704283;30.10.2023 0:00;1
37452077;30.10.2023 0:00;1
37452177;30.10.2023 0:00;1
37268363;30.10.2023 0:00;1
37452518;30.10.2023 0:00;0
37861642;30.10.2023 0:00;1
37861796;30.10.2023 0:00;1
37861951;30.10.2023 0:00;1
37862314;30.10.2023 0:00;1
37915794;30.10.2023 0:00;0
37862704;30.10.2023 0:00;0
37862802;30.10.2023 0:00;1
37863552;30.10.2023 0:00;0
37916924;30.10.2023 0:00;0
37863555;30.10.2023 0:00;0
37864082;30.10.2023 0:00;1
38009860;30.10.2023 0:00;0
37864832;30.10.2023 0:00;0
38010232;30.10.2023 0:00;1
37865903;30.10.2023 0:00;1
37866238;30.10.2023 0:00;0
34795052;25.10.2023 0:00;1
35314769;25.10.2023 0:00;0
35341225;25.10.2023 0:00;0
35587261;25.10.2023 0:00;1
36050149;25.10.2023 0:00;1
36097618;25.10.2023 0:00;1
36141655;25.10.2023 0:00;1
36141828;25.10.2023 0:00;0
36867196;25.10.2023 0:00;0
36867240;25.10.2023 0:00;0
36886401;25.10.2023 0:00;0
36886522;25.10.2023 0:00;1
36277680;25.10.2023 0:00;1
36277753;25.10.2023 0:00;0
36316622;25.10.2023 0:00;1
36316823;25.10.2023 0:00;1
36864671;25.10.2023 0:00;1
35315370;25.10.2023 0:00;0
35373840;25.10.2023 0:00;0
35391216;25.10.2023 0:00;1
35391371;25.10.2023 0:00;1
35631866;25.10.2023 0:00;1
36098358;25.10.2023 0:00;0
36069583;25.10.2023 0:00;0
36143165;25.10.2023 0:00;0
36027906;25.10.2023 0:00;1
36027973;25.10.2023 0:00;1
36075855;25.10.2023 0:00;0
36075873;25.10.2023 0:00;1
36080889;25.10.2023 0:00;0
37638337;25.10.2023 0:00;0
37638384;25.10.2023 0:00;0
37638587;25.10.2023 0:00;1
37638893;25.10.2023 0:00;1
36009395;25.10.2023 0:00;0
36879314;25.10.2023 0:00;1
36879344;25.10.2023 0:00;0
36902553;25.10.2023 0:00;0
36278511;25.10.2023 0:00;0
36278710;25.10.2023 0:00;0
36279073;25.10.2023 0:00;0
36318252;25.10.2023 0:00;1
36318294;25.10.2023 0:00;0
35439115;25.10.2023 0:00;1
37930272;25.10.2023 0:00;1
36069988;25.10.2023 0:00;0
36070121;25.10.2023 0:00;0
36070189;25.10.2023 0:00;0
36070338;25.10.2023 0:00;1
36143214;25.10.2023 0:00;0
36143222;25.10.2023 0:00;0
36143585;25.10.2023 0:00;1
36029391;25.10.2023 0:00;1
36032166;25.10.2023 0:00;0
36081234;25.10.2023 0:00;0
36106276;25.10.2023 0:00;1
37009187;25.10.2023 0:00;1
37009254;25.10.2023 0:00;0
37543931;25.10.2023 0:00;1
37544086;25.10.2023 0:00;1
37649782;25.10.2023 0:00;1
37649819;25.10.2023 0:00;1
37639716;25.10.2023 0:00;0
37639980;25.10.2023 0:00;0
36879894;25.10.2023 0:00;0
36880319;25.10.2023 0:00;1
36279975;25.10.2023 0:00;1
36052204;25.10.2023 0:00;0
36052554;25.10.2023 0:00;1
36076142;25.10.2023 0:00;0
36076292;25.10.2023 0:00;0
36032961;25.10.2023 0:00;0
36033036;25.10.2023 0:00;1
36106482;25.10.2023 0:00;0
37544700;25.10.2023 0:00;1
37545074;25.10.2023 0:00;0
37651314;25.10.2023 0:00;0
37640788;25.10.2023 0:00;1
36016754;25.10.2023 0:00;0
36736404;25.10.2023 0:00;0
36201038;25.10.2023 0:00;1
36291242;25.10.2023 0:00;1
36319549;25.10.2023 0:00;0
35442325;25.10.2023 0:00;1
36866458;25.10.2023 0:00;1
36866717;25.10.2023 0:00;1
36866901;25.10.2023 0:00;1
35380976;25.10.2023 0:00;0
36022946;25.10.2023 0:00;1
